ig_book,ig_no,phi_no,header,location,tqp,taq,cross_cen,tpq_bce,taq_bce,tpq_cen,taq_cen,analysis_cen,text
IG II²,140,2358,"[ ]
Att. — stoich. 26 — 353/2 — cf. IG II² 140 Add. (pt. 1.2 p. 658)

See also:
SEG 3:78SEG 45:56SEG 44:37SEG 21:253I.Eleusis 142",Eleusis,353,352,FALSE,TRUE,TRUE,400,400,400,"θε[] επι της Πανδι[]υτανειας, μιαι [] πρυτανειας· εν []εδρων επεψηφι[] ς Ικαριευς· Μειδ․․․․․․․․․․ Ελευσινιος ειπ[]ς νομοθεταις· τα []ν Χαιρημονιδο νο[]ς απαρχης, κυριο[]ον ψηφιζεσθαι κ[]οκηι αριστα ε[]λ[]ρχη του καρπου τ[] βουλην την αει []α Θουδημον αρ[]αι οπως αν γιγ[]ν θεοιν και τα []υ δημου του Αθ[] πελανου καθ’ ο[]ξηγωνται, τω[]τρι και τη[]λεμωι και [][] τω[]θυ[]ημωι· ε[] η βουλη []αι θυσει τ[] τον νομον μη []ειαν, καθαπερ εα[]υ ποιησηται τω[]ιων· τον δε γραμμα[] προσαναγραψαι τ[] προς τον προτερο[]ιδου εις την στηλ[]εν του Μητρωιου, ε[]αφην της στηλης δ[]αν του δημου  Δ[] εις τα κατα ψηφι[]                  "
IG II²,223,2441,"[ ]
Att. — non-stoich. — 343/2 — IG II² 223 Add. (pt. 1.2 p. 659)

See also:
IG II³,1 306Agora XV 34",Athens,343,342,FALSE,TRUE,TRUE,400,400,400,"   η βουλη η επι Πυθοδοτου [] αν[]θ[] Ηφαιστωι στεφανωθεισ[] του δημου     αρετης ενεκα και δικαιοσυνης Δεινοστρατος Δεινιαδου Αγκυληθεν ειπεν· επειδη η βουλη η επι Πυθοδοτου αρχοντος, ψηφισαμενη κρισιν ποιησαι των λεγοντων εν τει βουληι επι της ενατης πρυτ[]νειας και τιμησαι ος αν δοκει αυτει αριστα λεγων και πραττων και αδωροδοκητως υπερ της βουλης και του δημου του Αθηναιων διατετελεκεναι τον ενιαυτον, εκρινεν διαχειροτο[]σασα περι τουτων η βουλη Φανοδημον Διυλλου Θυμαιταδην, δεδοχθαι τηι βουληι, αγαθηι τυχηι του δημου του Αθηναιων και της βουλης επαινεσαι Φανοδημον Διυλλου Θυμαιταδ[] αρετης ενεκα και δικαιοσυνης της εις την βουλην και τον δημον τον Αθηναιων και στεφανωσαι απο ∶𐅅∶ δραχμων, το δε αργυριον ειναι το εις τον []φανον εκ των εις τα κατα ψηφισματα αναλισκομενων τει βουλει αναγ[]αψαι δε και επι το αναθημα της βουλης τοδε το ψηφισμα τους αιρεθεντας ποησασθαι το αναθημα οπως δ’ αν και ο δημος ειδως τα εψηφισμενα τηι βουληι περι Φανοδημου τιμησει και αυτος []αι στεφανωσει, εαν δοκει τωι δημωι καθαπερ τηι βουληι, τους προεδρους οι αν λαχωσιν προεδρευειν εν τωι δημωι εις την πρωτην εκκλησιαν χρηματισαι περι Φανοδημου, και αναγ[]ναι τοδε το ψηφισμα τογ γραμματεα τωι δημωι, γνωμην δε ξυνβαλλεσθαι της βουλης εις τον δ[]μον οτι δοκει τηι βουληι, επειδη Φανοδημος Διυλλου Θυμαιταδης καλ[]αι φ[]λοτιμως και αδωροδοκητως βεβουλευκεν λεγων και πραττων τα αριστα υπερ της βουλης και του δημου του Αθηναιων και των συμμαχων, επαινεσαι αυτον αρετης ενεκα και δικαιοσυνης της εις την βουλην και τον δημον τον Αθηναιων []αχους και στεφαν[]σαι χρυσωι στεφανωι απο ∶Χ∶ δραχμων επειδαν τας ευθυνας δωι· το δε αργυριον ειναι το εις τον στεφανον οποθεν αν τωι δημωι δοκει οπως αν []τες ειδωσι ο[] ο δημος και η βουλη επισταται χαριτας αποδιδοναι τοις αει λεγουσιν και πραττου[]τα υπερ της βουλης και του δημου, []μα τον γραμμα[] τον κατα πρυτανειαν εν στηληι λι[]ι και στησαι εν ακροπολει, εις δε την ανα[]ηλης δουναι τον ταμιαν του δημου Δ[]σματα []ενων []    []νο[]υλλου Θυμαιταδης ειπεν· — — — — — — — — — — — — — — — — — — — — — — — — — — — — — ανα — — — ον ελεσθαι την βολην αυτικ[]Λ⁷Λ․․Λ — — — — — — — στον καθοτι αν αυτοις δοκηι αρισ[ ] αναθειναι το τε αγα[]αι τηι Αθηναι τηι Ηφαιστιαι· επιγρ[]ευτας πατροθεν και του δημ[] εφ’ υγι[]αι και σωτηριαι της βουλης και του δημου []μα καθ’ ο εστεφανωθη η βουλη [] τηι εν Διονυσου εκκλησιαι δοξασα καλως επιμε[] την εορτην του Διονυσου το[]  — — — — — — — — — — — — —                                           []σοφω[] Καλλιβιου Παιανιευς ειπεν· επειδη η βουλη η ε[]οτο[]οντος καλως και δικαιως επε[]θη []ης ευκοσμιας του θεατρου, επαινεσαι αυτην και στεφα[]σαι χρυσωι []ανωι απο ∶𐅅∶ δραχμων· δουναι δε αυτ[][] θυσιαν 𐅃 δραχμας τους ταμιας ους ειρηται εκ του νομου τοις δ[]ξασιν αριστα των βουλευτων επιμεμελησθαι της ευκοσ[]                                               []ν Αντικρατους Παμβωταδης ειπεν· τυχηι αγαθηι, εψηφισθαι τηι βουληι, επειδη Ευδοξος Θεαγ[] []ηττιος καλως και δικαιως επεμεληθη της διοικησεως υπο της βουλης εφ’ ην ειρεθη και της αλλη[][]ας της βουλης μετα των πρυτανεων των αει πρυτανευοντων, επαινεσαι αυτον και στεφανωσαι χρυ[]νωι απο ∶𐅅∶ δραχμων, επειδαν τας ευθυνας δωι· οπ[] δ’ αν ποηθηι ο στεφανος και ηι φανερα η δωρεα η πα[] []ς, ελεσθαι πεντε ανδρας την βουλην αυτικα μαλα, οιτινες ποησονται τον στεφανον· τους δε ταμι[]ο αργυριον εκ των κατα ψηφισματα ανα[]μενων τηι βουληι αναγραψαι δε τοδε το ψηφισμα []θημα της βουλης της επι Πυθοδοτο[]οντος              []ε[]ς κατα π[]νειαν·                  Κλεοστρατος Τιμοσθενους Αιγιλιευς          επι τα ψηφισματα·                  Δημοφιλος Πανταλεοντος Αγρυληθεν          επι το θεωρικον·                  Κηφισοφων Κεφαλιωνος Αφιδναιος          βουλης ταμιαι·                 Αντικλης Αριστοκρατους Κυδαθηναιευς                  Δρομοκλειδης Θρασυμηδους Αγνουσιος Βραχυλλος Βαθυλλου Ερχιευς ειπεν· επειδη Ευδο[]ος καλως και δικαιως επεμεληθη ων αυτωι η βουλη προσ[] της τε διοικησεως τηι βουληι και της ευκοσμιας μετα των πρυτανεων των αει πρυτανευοντων και διετ[] βελτιστα συμβουλευων, []εδοχθαι τηι βουληι επαινεσαι Ευδοξον Θεαγγελου Συπαληττιον αρετης ε[]οσυνης της εις την βουλην και στεφανωσαι αυτον χρυσωι στεφανωι απο ∶𐅅∶ δραχμων επειδαν τας ευ[]γυριον ειναι εις τον στεφανον π[]ρ’ []αστου των βουλευτων εινα[] αυτωι και παρα του δ[]υ [] []υνηται αναγραψαι δε τοδε το ψη[] αναθημα της βουλη[]οτου αρχοντος· []ς [][]σιν τ — — —"
IG II²,237,2455,"[ ]
Att. — stoich. 41 — 338/7 — IG II² 237 Add. (pt. 1.2 p. 659)

See also:
SEG 17:24Schwenk, Athens 1IG II³,1 316SEG 31:76SEG 21:266",Athens,338,337,FALSE,TRUE,TRUE,400,400,400,"[]δου αρχο[]ε[][] π[]νειας, ηι Φ[] []αμ[]τευεν, Θαργηλ[][]ι []ς πρυτανειας· τω[]πεψη[]ιζεν ․․․ ․․․․ Ερχιευς· εδοξεν τ[]ι []σιππος [][]ευς ειπεν· περι ων οι Α[]νες λεγουσ[][]ων και Καρφινας οι νε[]ν ελ[]ες, δεδοχθαι [] []ωι, επειδη Φορμιων και Καρ[]ινας οντες πατρο[][]οι του δημου του Αθηναιων διαφυλαττουσιν [][]νοιαν ην οι προγονοι αυτοις παρεδοσαν προς [][]ημον τον Αθηναιων και νυνι βοηθησαντ[]ετα δ[][]εως συνκατεταττοντο μετα Αθηναιω[] κ[]οτι ο [][]ρατηγος παραγγε[]λοι, επαινεσαι αυτο[]της [][] και στεφανωσαι εκατερον αυτων χρυσωι στεφ[][]ι· []πειδη δε Φορ[]ιωνα τον Φορμιωνος και Καρ[]ιν[] []ν εποιησατο  Αθηναιον ο δημος ο Αθηναιων κ[][]ου[] εκεινου εκ[]νους και το ψηφισμα καθ’ ο η []οιη[]ς εγενετο, αναγ[]απται εν ακροπολει, ει[] Φορ[]ιων[]α[] Καρφι[] και τοις εκγονοις αυτων κυρια[]ν []αν ην []εν ο δη[]ος Φορμιωνι τωι παππωι []υ[]ων  []ε[]ι δε []υτου[] φυλη[] και φρα[]ν βο[]ται ειναι επαινεσαι δε και τους []ο[]κ[]ρ[]ους βο[]ηθησαντας μετα Φορμιω[]α[]ρφ[] ειναι αυ[]οις, εως αν κατελθωσι[] ο[]ων βουλωνται οικουσιν Αθηνη[]κ[]ου κα[] διδοναι αυτους δικα[] []θ[]ρ Αθηναιο[] και τας εισφορας [] γ[]ν[]τ[]ετα Αθηναιων εισφερειν και []ι []υ[]ν βουλη[] την αει βουλευουσ[]αι το[]ς στρατηγο[]ς οι α[] αει στρατηγωσιν, οπως []δι[]ται []ψ[]ι []ε τοδε το ψηφισμα εν στ[] λιθιν[]ι το[]ατε[] τ[]ς βουλης και στησαι []κροπο[]ι αναγ[]αι δε κ[]ι τα ονοματα των Ακαρ[]ων εις την αυτη[]λην υπογραψαντα τας πολει[]ς Ακαρναν[]κ[]τος εστιν εις δε την ανα[]φ[]ν της στη[]ι τον ταμιαν του δημου τωι [] τ[]ρ[]οντα δραχμας εκ των κατ[]   : Φορμιωνα ο δη[]ο[]                                    :                                 Καρφιναν                                 ο δημος"
IG II²,238,2456,"[ ]
Att. — stoich. 24 — 338/7

See also:
IG II³,1 317Schwenk, Athens 2SEG 17:25",Athens,338,337,FALSE,TRUE,TRUE,400,400,400,  []ντιδου []ου Ανδριων []ωνδου αρχοντος επι [][]ονιδος δεκατης πρ[][] Φι[]ιππος Αντιφ․․․ ․․․․․․․․ εγραμματευε[] — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — —   ․․․․ επαι[][]εφανωσαι α[][]ου στεφανωι ανδρα[] []εκα και ευνοιας της περι το[] []μον τον Αθηναιων· ειναι δε κ[] προξενους και ευεργετας τ[]υ δημου του Αθηναιων και αυτ[]ς και εκγονους Δρακοντιδη[]μφοτερου και Ηγησιαν Στησ[]ου και ειναι αυτοις αν το[]οσοδον προς τε τη[]ι προς τον δημον το[] πρωτοις μετα τα ιε[]αι δε τοδε το ψηφισ[]ματεα της βουλης ε []ν εις στηλην λιθι[]ν αναγραφην της σ[]ι τον ταμιαν ∶ΔΔ∶ δρ[] κατα ψηφισματα α[]ων τωι δημωι· καλε[] επι ξενια εις το [] εις αυριον
IG II²,239,2457,"[ ]
Att. — stoich. 26 — 337/6

See also:
IG II³,1 319Schwenk, Athens 4SEG 21:267SEG 32:78",Athens,337,336,FALSE,TRUE,TRUE,400,400,400,[]ε[]  Αλκιμα[] []πι Φρυνι[][]αμαντιδ[][] Χαιρεσ[][]ς εγρα[][]ηι? — — — — — — — — —
IG II²,240,2458,"[ ]
Att. — stoich. 27 — 337/6

See also:
IG II³,1 322Schwenk, Athens 7SEG 31:77",Athens,337,336,FALSE,TRUE,TRUE,400,400,400,"        θεο[] []ι Φρυνιχου αρχοντος [][]ιονιδος δεκατης πρυ[][]αιρ[]τρατος Α[]ινιο[][]ς []ατευεν· των προε[][]ψ[]ν []ντιφανης Ευων[]· []η[]μεου Παιανιευ[]· []θ[]υχηι []ου δημου το[][]ο[]αι τωι δημωι, []π[] ․․․․σ․․․․⁷․․νδρον ․ν․․․․․ []ο[]ν δημον []ον Αθην[]ι[] []α[] επιμελειται Αθηναι[][]ο[]ενων ως Φιλιππον [][]αθον οτι δυ[]αι Αθην[][]α []ιλιππου, ε[]ι προξε[] []ε[]γ[]την τ[]υ []ου του Αθ[][]υτον και εκγονους αυτο[][]λεισθαι αυτου τημ βου[] []ς στρατηγους οτου αν δ[][]γ[]αψαι δε την προξενια[][] λιθινην και στησαι [][]α []ον κα[]α πρυτανει[][]ει· εις []ε την αναγρ[][]λης []τω ο ταμιας τρια[][]α[] κατα τον νομον "
IG II²,241,2459,"[ ]
Att. — stoich. 28 — 337/6

See also:
IG II³,1 321Schwenk, Athens 8",Athens,337,336,FALSE,TRUE,TRUE,400,400,400," []ι [] αρχ[]ι της Παν[]ατη[]νειας, ηι Χ[]ς Αμει[] Αχαρνευς ε[]ν· των π[]ρων επεψηφ[]νης Ευω[]· Δημαδη[]ανιευς []γαθηι τ[]μου τ[] δεδοχ[]ωι — — — — — — — —"
IG II²,242,2460,"[ ]
Att. — stoich. 33 — 337/6

See also:
SEG 41:44IG II³,1 324Schwenk, Athens 88SEG 40:74Schwenk, Athens 10",Athens,337,336,FALSE,TRUE,TRUE,400,400,400,[]ε[] []πι Φρυνιχ[]υ [][]ος δεκατ[]χαρνευς εγ[]νει []αι νε[] πρυτανει[]θυκρατης []ειδου Μυ[] ․αρχονο — — — — — — — — — — ․νο — — — — — — — — — — — — ․αγγε[]λ — — — — — — — — — — ․ν το[] δε — — — — — — — — — []εσμοθ[] ․σι․ΛΤ — — — — — — — — — — εδεοντο []σθαι τ[][]ς τον []
IG II²,243,2461,"[ ]
Att. — stoich. 29 — 337/6

See also:
IG II³,1 325Schwenk, Athens 11",Athens,337,336,FALSE,TRUE,TRUE,400,400,400,"[] Φρυνιχου αρ[][]ονιδος δεκατη[]ρεστρατος Αμει[]μματευεν· των πρ[] Ευθυκρατης Αφι[]ημωι και τει βου[]ικλειδου Μυριν[]ν Καλιτελης λεγ[]σατο αυτωι προβ[] τηι βουλει τους [][]τισαι περι αυτ[][]ιαι, γνωμην δε [][]λης εις τον δη[][]ι επαινεσαι [] ․․․․ους Κυδαν[] — — — — — — — — — — — — — — — — — —"
IG II²,244,2462,"[ ]
Att. — stoich. 110 — 337/6

See also:
IG II³,1 429Schwenk, Athens 3SEG 19:57SEG 35:62",Athens,337,336,FALSE,TRUE,TRUE,400,400,400,"[]ε[] [] Αφιδναιος ειπεν· αγαθηι τυχηι του [] []ι τα περι την Ητιωνειαν και τον αλλο[] [] []ισκευασθωσιν, επισκευαζηται δε και τα [] ․․․․․․․․․․․․α δεδοχθαι τοις νομοθεταις τους μεν αρχι[][]φας συγγραψαντας καθ’ εκαστον των εργων [][]εις και τογ γραμματεα παραλαβοντας εκτ[][]αν αυτο καθ’ αυτο περι τουτων, την δε βουλην ․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․ []οιας δ’ αν χειροτονησει η βουλη, κατα ταυτα[] ․․․․․․․․․․․․․․ ταλαντων εργα συν τωι επι Φυλην διδομε[] []μηθηι τα τειχη οπως δ’ αν και χρηματα εις τα [] []ν ενιαυτον εκαστον εκ του προτερου νομο εΙ․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․ ․․․․․․․․․․․․․ν του διαμεσου χωματος αρξαμενον απο του ․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․ ․․․․․․․․․․․․ και μη ανηλωται εις τα τειχη υπαρχειν δε κα[] []κονταρχους, επειδη ου γιγνεται η αιρεσις α․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․ ․․․․․․․․․․․․ τας υπερεσιας παρα το ες Σαμωι εκ του ενιαυ[] []υ δανεισθεντος εκ των τειχοποιικων ταλαντο[] ․․․․․․․․․․․․․ ελλειπηι εις τα δεκα ταλαντα, μεριζειν του[] ․․․․․․․․․․․․ εισφερειν δε και τους μετοικους το εκτον με[] ․․․․․․․․․․․ τα υπαρχοντα χρηματα εν τωιδε τωι νομωι τειχ[][]ν επι της πεμπτης, την δε τριτην []πι της ενατης· δ[][]ιμελειαν των τειχων και τον αντιγραφεα τα ανα[] []νατης πρυτανειας προ της καταβολης οπως δ’ αν τ․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․ []λογισμενων τωγ χρηματων ειδοτες καταβαλλωσιν ο[] []αμιας και τους επιμελητας τωμ μετοικικων []υμμοριω[][]ης καταβολης τωγ χρηματων μιαν ημεραν περι του λογισμ[] []α []ενηται η οφειλειν εκαστον τωμ προεδρων εκατον δραχμας [] []ρας εξ Αθηναιων απαντων, οιτινες επιμελησονται των εργων [], []ως αν εξεργαζωνται οι μισθοσαμενοι κατα τον ενιαυτον εκασ[] []ατερωι αυτων τρεις οβολους της ημερας εκ των τειχοποιικων, του[][]ς ηιρημενοις επι τα τειχη ηγεμονιαν δικαστηριου οταμ παραγ[]η εξεργαζωνται, ειναι κατ’ αυτων τας αυτας τιμωριας καθαπερ περ[]υς μετα των τειχοποιων και των ταμιων και τωμ μακρων τειχων και [][]αζωνται τα εργα και ει τινες τωμ μισθωσαμενων η εγγυησαμενων α[][] τουτους εις το δικαστηριον την δε βουλην την αει βουλευουσαν ε․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․ ν μιαν ημεραν της πρυτανειας εκαστης βουλης εδραν περι των τειχ[]ους ηιρημενους και τους ταμιας της θεο και τους τειχοποιους οτ[]γων διδοναι εις αναθημα τηι μεν βουληι πεντακοσιας δραχμας, τοις δ[]ας εκ των τειχοποιικων χρηματων οπως δ’ αν και οι λιμενες κλειωνται []ρα της πολεως μισθοφορουντας και αλλον τομ βουλομενον συγγραφα[]ηι των συγγραφων χειροτονησαι καθ’ αστινας αν δοκηι αυτηι εγδιδο[]πι την επιμελειαν των τειχων επιμελεισθαι και τουτων των εργων ο[][] της πολεως, το δε αργυριον ειναι εις ταυ[]α εκ των χρηματων των τει[][]ροτονημενων υπο του δημο τοις μισθοσαμενοις τα εργα λαμβανον[][]μος Τιμωνιδο Αλαιευς, Φιλοδημος Αυτοκλεους Εροιαδης· Διοδωρος []   []υγγραφαι του τειχους του Μονιχ[]ασι οι μισθωσαμενοι τας τομας των λιθων επι τα τειχη τεμουσιν πετρας οποθεν αν εκαστος μισθωσηται ομαλους και υγιους και πελεκησουσιν ορθους πανταχηι και ευγωνιους προς τα μετρα α αν μισθωσηται εκαστος και προς τους αναγραφεας ους αν οι την εργασιαν μισθωσαμενοι κελευωσιν, και κομιουσι προς το εργον αγοντες οποιους αν κελευωσι πρωτους οι την εργασιαν μ[]σθωσαμενοι, και καθαιρησονται προς το εργον το λιθον εκαστον ου αν οι την εργασιαν μισθωσαμενοι κελευωσιν, ου αν ηι ζευγει προσοδος· εαν δε τις των λιθων εχει τι κροιον μη μειζον η ημιποδιου, ο μη εστ[]ανερον κειμενου του λιθου, εσ[]κιμος τεμνειν δε και κομιζ[]υς προς το εργον του[]αστος μισθωσητα[]ν ημεραν εκαστη[] οπως αν κομιζω[]οις χρονοις τοι[]ιν δε του κομ[] δεκατην ημ[]λαβηι τα []ενηται π․․․․․․․․․․․․․․․․․․․αμενοι []αλακη ․․․․․․․․․․․․․․․․․․․․․․η εν ․․․․․․․․․․․․․․․․․․․․․․․․⁷   ποιων τα μετωπα των κλιμακτηρω[] λεια και ορθα και εξαμησαμενος []ην λατυπην την εγκεχωμενην εκ τ[] στρογγυλο πυργο απασαν, πληρωσ[] ς τομ πυργον λιθοις μη ελαττοσι[] η διποσιν, εαμ μη που αναγκηι ηι θε[]ναι ελαττω προς το χωριον, το δε []ος ισους τωι στοιχωι τωι εξωθ[]υντιθεις αρμοττοντας προς []λους πανταχηι, ποιων τους α[] του πληρωματος τουτο αποτ[]θοις δε χρησθαι εις το πληρω[]ις υπαρχουσιν εν τηι Μουνιχ[]λην οποσοι αν επισημανθωσιν []σιμοι οντες εις την οικοδομ[]ων νεωριων, και επικοπτειν τ[]ρωματα ορθα κατα κεφαλην πρ[]ν τοιχον του πυργου τον εξω ε[]στης της εφοδου ταυτα οι μισ[]μενοι αποδωσουσιν πεποιημ[]παντα ορθα και αρμοττοντα πα[]χηι και προς την εντορνον στρ[]υλα και τας προσαγωγας ομοια[]κλωι οπως αν ηι ορθα τα μεταπυ[]α και οι πυργοι απανταχηι και α[]λιμακες, παρεχομενοι αυτοι αυ[]ις και τοις λιθοτομοις αναγρα[]ας και ταλλα παντα ων αν δεωντα[]ις το εργον· τους λιθους τους ει[]ο πληρωμα τωι πυργωι προσαξετ[] αυτος αυτωι απαντας οσων αν []αι αποδωσουσιν ταυτα απαν[]οιημενα κατα τα γεγραμμε[] []⁷κ․․⁷ικ․․ρ․․․․νιτωι ⁷․․․․․          "
IG II²,276,2494,"[ ]
Att. — stoich. 31 — ante 336/5

See also:
IG II³,1 418Schwenk, Athens 12",Athens,NA,335,NA,TRUE,TRUE,NA,400,400,"[]ς πρυτα[][]κρατη[] []οταμιος ε[][]δωρος []λυ․․․․․․․․․․ []υλει εννομα ι[][] τωι δημωι· επειδη []ληπι[][] αγαθος εγενετο μ[]μενος π[][] πολεμιους π[]ν ε[] της τριηρ[] Χαρητος του Αιξων[]ς, επαινε[][]ν και στεφανωσαι θα[]λου στεφ[][]δραγαθιας ενεκα και καλεσαι ε[][]α εις το πρυτανειον εις αυριον· [][]αι δε αυτωι και ισοτελειαν και εκγ[]νοις οικουντι Αθηνησιν καθαπερ τοι[] αλλοις ισοτελεσιν, οπως αν ει[]ωσιν π[]ντες οσοι αν στρατευωνται μετ’ Αθηνα[][]ν οτι τιμαι ο δημος τους ανδρας τους [][]αθους· το δε ψηφισμα τοδε αναγραψας [] []αμματευς εν στηλει λιθινει στησα[][] εν ακ[]λει· εις δε την αναγραφην δ[][]ω ο τα[] του δημου εικοσι δραχμας [][] των κ[]ηφισματα αναλισκομενων [][]ι δημωι·  Κηφισοφων Καλλιβιου Παια[][]υς ειπεν· τα μεν αλλα καθαπερ τει βο[][]σκληπιοδωρος ανηρ αγ[][]ονα․․․"
IG II²,289,2506,"[ ]
Att. — stoich. 26 — ante 336/5

See also:
Schwenk, Athens 87SEG 39:75",Athens,NA,335,NA,TRUE,TRUE,NA,400,400,— — — — — — — — — — — — — — ΙΟΣΣ []εργετ[]ς του δη[] δε αυτωι []ς  []ο[]ζηνιε[]πε[] τει βο[]ης βουλης []ι τοδε το ψ[]ι δε[]α ημε[]οις Νικ․․— — — — — — — — — — — — — — — — — —
